period;LOC;lat;lon;Filename
Havana Peace Negotiations, Peace Agreement (2012-2016);El Rosario, Nariño;1.742897;-77.33513239999999;4
Havana Peace Negotiations, Peace Agreement (2012-2016);El Tarra, Norte de Santander;8.57451;-73.09339;13
Havana Peace Negotiations, Peace Agreement (2012-2016);El Zulia, Norte de Santander;7.937289;-72.604826;2
Havana Peace Negotiations, Peace Agreement (2012-2016);El Zulia, Santander;7.937289;-72.604826;6
Havana Peace Negotiations, Peace Agreement (2012-2016);Florida, Valle del Cauca;3.3213339;-76.235361;9
Havana Peace Negotiations, Peace Agreement (2012-2016);Fortul, Arauca;6.794366999999999;-71.7715489;28
Havana Peace Negotiations, Peace Agreement (2012-2016);Francisco Pizarro, Nariño;2.0403017;-78.6582394;12
Havana Peace Negotiations, Peace Agreement (2012-2016);Granada, Meta;3.5436442;-73.7028107;6
Havana Peace Negotiations, Peace Agreement (2012-2016);Génova, Quindío;4.2497299;-75.66954;7
Havana Peace Negotiations, Peace Agreement (2012-2016);Hacarí, Norte de Santander;8.320680099999999;-73.1461958;1
Havana Peace Negotiations, Peace Agreement (2012-2016);Ibagué, Tolima;4.444675999999999;-75.24243799999999;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Iscuande, Nariño;2.4505212;-77.98026930000002;3
Havana Peace Negotiations, Peace Agreement (2012-2016);Iscuandé, Nariño;2.4505212;-77.98026930000002;5
Havana Peace Negotiations, Peace Agreement (2012-2016);Istmina, Chocó;5.157448899999999;-76.6880899;21
Havana Peace Negotiations, Peace Agreement (2012-2016);Ituango, Quindío;7.1722236;-75.764398;11
Havana Peace Negotiations, Peace Agreement (2012-2016);Jambaló, Cauca;2.7768879;-76.3247615;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Juradó, Chocó;7.102626;-77.762046;26
Havana Peace Negotiations, Peace Agreement (2012-2016);La Apartada, Córdoba;8.048048999999999;-75.33410099999999;5
Havana Peace Negotiations, Peace Agreement (2012-2016);La Chorrera, Amazonas;-1.443383;-72.788945;2
Havana Peace Negotiations, Peace Agreement (2012-2016);La Montañita, Caquetá;1.4342295;-75.3878525;6
Havana Peace Negotiations, Peace Agreement (2012-2016);La Paz, Cesar;10.3868315;-73.1706425;5
Havana Peace Negotiations, Peace Agreement (2012-2016);La Primavera, Vichada;5.4915919;-70.4139951;9
Havana Peace Negotiations, Peace Agreement (2012-2016);La Salina, Nariño;1.2897467;-77.3580033;10
Havana Peace Negotiations, Peace Agreement (2012-2016);La Tebaida, Quindío;4.453588;-75.79153;14
Havana Peace Negotiations, Peace Agreement (2012-2016);La Tola, Nariño;2.399572;-78.189712;27
Havana Peace Negotiations, Peace Agreement (2012-2016);La Unión, Valle del Cauca;4.529822999999999;-76.1088001;14
Havana Peace Negotiations, Peace Agreement (2012-2016);Labranzagrande, Boyacá;5.562762999999999;-72.57762799999999;4
Havana Peace Negotiations, Peace Agreement (2012-2016);Leguízamo, Putumayo;-0.185957;-74.78366;1
Havana Peace Negotiations, Peace Agreement (2012-2016);Leiva, Nariño;1.9354157;-77.3035623;4
Havana Peace Negotiations, Peace Agreement (2012-2016);Lejanías, Meta;3.5272204;-74.022413;3
Havana Peace Negotiations, Peace Agreement (2012-2016);Lorica, Córdoba;9.2376398;-75.81362450000002;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Los Patios, Norte de Santander;7.833199;-72.504392;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Los Patios, Santander;7.8328574308121075;-72.50490863729128;6
Havana Peace Negotiations, Peace Agreement (2012-2016);López, Meta;4.129390111599738;-73.62940173168514;5
Havana Peace Negotiations, Peace Agreement (2012-2016);Maguí Payán, Nariño;1.7658466;-78.1838239;16
Havana Peace Negotiations, Peace Agreement (2012-2016);Malambo, Atlántico;10.8575824;-74.7746834;7
Havana Peace Negotiations, Peace Agreement (2012-2016);Mapiripán, Meta;2.892506;-72.13317500000001;36
Havana Peace Negotiations, Peace Agreement (2012-2016);María la Baja, Bolívar;9.983431500000002;-75.30223749999999;4
Havana Peace Negotiations, Peace Agreement (2012-2016);Medellín, Quindío;6.2476376;-75.56581530000001;21
Havana Peace Negotiations, Peace Agreement (2012-2016);Medio Atrato, Chocó;5.989716400000001;-76.7336521;14
Havana Peace Negotiations, Peace Agreement (2012-2016);Medio Atrato, Quindío;5.989716400000001;-76.7336521;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Medio Baudó, Chocó;5.1334095;-76.964306;18
Havana Peace Negotiations, Peace Agreement (2012-2016);Medio San Juan, Chocó;5.6914548;-76.65897939999999;21
Havana Peace Negotiations, Peace Agreement (2012-2016);Mesetas, Meta;3.381995;-74.043801;3
Havana Peace Negotiations, Peace Agreement (2012-2016);Miraflores, Guaviare;1.337454;-71.950914;17
Havana Peace Negotiations, Peace Agreement (2012-2016);Miranda, Valle del Cauca;3.2135542;-76.2131474;9
Havana Peace Negotiations, Peace Agreement (2012-2016);Mistrató, Risaralda;5.2962025;-75.88155549999999;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Mitú, Vaupés;1.2521739;-70.23361799999999;28
Havana Peace Negotiations, Peace Agreement (2012-2016);Montañita, Caquetá;1.4342295;-75.3878525;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Montelíbano, Córdoba;7.976803;-75.417209;28
Havana Peace Negotiations, Peace Agreement (2012-2016);Montenegro, Quindío;4.566637;-75.75012;14
Havana Peace Negotiations, Peace Agreement (2012-2016);Montería, Córdoba;8.750983;-75.8785348;18
Havana Peace Negotiations, Peace Agreement (2012-2016);Mosquera, Nariño;2.50923;-78.451284;12
Havana Peace Negotiations, Peace Agreement (2012-2016);Moñitos, Córdoba;9.2461227;-76.1316984;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Mutatá, Quindío;7.361357399999999;-76.5025742;11
Havana Peace Negotiations, Peace Agreement (2012-2016);Nariño, Nariño;1.289151;-77.35794000000001;3
Havana Peace Negotiations, Peace Agreement (2012-2016);Norosí, Bolívar;8.528027;-74.037018;13
Havana Peace Negotiations, Peace Agreement (2012-2016);Nuquí, Chocó;5.709563;-77.2666969;26
Havana Peace Negotiations, Peace Agreement (2012-2016);Olaya Herrera, Nariño;2.2772880621602263;-78.31589372202436;27
Havana Peace Negotiations, Peace Agreement (2012-2016);Ovejas, Sucre;9.525146;-75.2296693;1
Havana Peace Negotiations, Peace Agreement (2012-2016);Pacoa, Vaupés;0.1410295;-70.6216794;13
Havana Peace Negotiations, Peace Agreement (2012-2016);Papunahua, Vaupés;1.8028463;-70.7168469;5
Havana Peace Negotiations, Peace Agreement (2012-2016);Paratebueno, Cundinamarca;4.3746917;-73.2120879;4
Havana Peace Negotiations, Peace Agreement (2012-2016);Paya, Boyacá;5.6260229;-72.4221792;4
Havana Peace Negotiations, Peace Agreement (2012-2016);Paz de Ariporo, Nariño;5.880639;-71.892912;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Pereira, Risaralda;4.8087174;-75.690601;11
Havana Peace Negotiations, Peace Agreement (2012-2016);Pijao, Quindío;4.334346099999999;-75.7036308;7
Havana Peace Negotiations, Peace Agreement (2012-2016);Pisba, Boyacá;5.722797;-72.48457499999999;4
Havana Peace Negotiations, Peace Agreement (2012-2016);Planadas, Tolima;3.1207486;-75.8533954;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Planeta Rica, Córdoba;8.412749;-75.584048;5
Havana Peace Negotiations, Peace Agreement (2012-2016);Policarpa, Nariño;1.6289529;-77.4592061;5
Havana Peace Negotiations, Peace Agreement (2012-2016);Pradera, Valle del Cauca;3.4195763;-76.24053119999999;9
Havana Peace Negotiations, Peace Agreement (2012-2016);Pueblo Nuevo, Córdoba;8.503178;-75.5075239;5
Havana Peace Negotiations, Peace Agreement (2012-2016);Pueblo Rico, Risaralda;5.221976;-76.03042330000001;14
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto Arica, Amazonas;-2.1495;-71.7546;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto Asís, Putumayo;0.4985097;-76.4977428;4
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto Berrío, Quindío;6.4895388;-74.4047587;6
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto Carreño, Vichada;6.1899117;-67.48256959999999;9
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto Colombia, Atlántico;11.001004;-74.950761;7
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto Concordia, Meta;2.6227918;-72.7598422;36
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto Gaitán, Meta;4.3123762;-72.0826822;17
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto Libertador, Córdoba;7.8877104;-75.67099759999999;28
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto Lleras, Meta;3.272414;-73.369542;14
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto López, Meta;4.091354;-72.955918;17
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto Rico, Caquetá;1.909918;-75.157235;11
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto Rico, Meta;2.941214;-73.20746799999999;14
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto Santander, Amazonas;-0.6218736;-72.3825557;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto Santander, Norte de Santander;8.361323;-72.408389;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Puerto Santander, Santander;8.361323;-72.408389;6
Havana Peace Negotiations, Peace Agreement (2012-2016);Quibdó, Chocó;5.695633;-76.649812;13
Havana Peace Negotiations, Peace Agreement (2012-2016);Quibdó, Quindío;5.695633;-76.649812;42
Havana Peace Negotiations, Peace Agreement (2012-2016);Quimbaya, Quindío;4.625907;-75.761865;14
Havana Peace Negotiations, Peace Agreement (2012-2016);Quinchía, Risaralda;5.341119099999999;-75.73047559999999;21
Havana Peace Negotiations, Peace Agreement (2012-2016);Qunidío, Quindío;4.4610191;-75.667356;5
Havana Peace Negotiations, Peace Agreement (2012-2016);Remedios, Antioquia;7.0281273;-74.69360689999999;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Remedios, Quindío;4.4610191;-75.667356;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Riosucio, Caldas;5.420683899999999;-75.705388;3
Havana Peace Negotiations, Peace Agreement (2012-2016);Riosucio, Chocó;7.437558799999999;-77.11333479999999;22
Havana Peace Negotiations, Peace Agreement (2012-2016);Rioviejo, Bolívar;8.588396999999999;-73.84025799999999;1
Havana Peace Negotiations, Peace Agreement (2012-2016);Risaralda, Risaralda;5.315847499999999;-75.9927652;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Roberto Payán, Nariño;1.718516;-78.25312;16
Havana Peace Negotiations, Peace Agreement (2012-2016);Ríoblanco, Tolima;3.530079;-75.643671;10
Havana Peace Negotiations, Peace Agreement (2012-2016);San Andrés de Cuerquía, Quindío;6.913245;-75.67555999999999;13
Havana Peace Negotiations, Peace Agreement (2012-2016);San Antero, Córdoba;9.374642;-75.758517;10
Havana Peace Negotiations, Peace Agreement (2012-2016);San Bernardo del Viento, Córdoba;9.3525858;-75.9535815;10
Havana Peace Negotiations, Peace Agreement (2012-2016);San Calixto, Norte de Santander;8.4015989;-73.2089979;13
Havana Peace Negotiations, Peace Agreement (2012-2016);San Jacinto, Bolívar;9.8297142;-75.12294899999999;1
Havana Peace Negotiations, Peace Agreement (2012-2016);San José del Guaviare, Meta;2.5677606;-72.6396535;36
Havana Peace Negotiations, Peace Agreement (2012-2016);San José, Meta;3.986680375727126;-73.77348313869281;6
Havana Peace Negotiations, Peace Agreement (2012-2016);San Juan Nepomuceno, Bolívar;9.95114;-75.083828;4
Havana Peace Negotiations, Peace Agreement (2012-2016);San Martín, Meta;3.698492;-73.697308;6
Havana Peace Negotiations, Peace Agreement (2012-2016);San Miguel, Putumayo;0.33002;-76.87635999999999;6
Havana Peace Negotiations, Peace Agreement (2012-2016);San Onofre, Sucre;9.74084;-75.519872;10
Havana Peace Negotiations, Peace Agreement (2012-2016);San Pablo, Bolívar;7.477887;-73.92410799999999;20
Havana Peace Negotiations, Peace Agreement (2012-2016);San Vicente del Caguán, Caquetá;2.1136446;-74.7732056;11
Havana Peace Negotiations, Peace Agreement (2012-2016);Santa Bárbara, Nariño;2.4505212;-77.98026930000002;19
Havana Peace Negotiations, Peace Agreement (2012-2016);Santa Marta, Magdalena;11.2403547;-74.2110227;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Santa Rosa del Sur, Bolívar;7.9630638;-74.05097479999999;9
Havana Peace Negotiations, Peace Agreement (2012-2016);Santa Rosa, Bolívar;10.445791;-75.368501;8
Havana Peace Negotiations, Peace Agreement (2012-2016);Santa Rosalía, Vichada;5.135381;-70.86496090000001;9
Havana Peace Negotiations, Peace Agreement (2012-2016);Santiago de Tolú, Sucre;9.527477;-75.5812215;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Sarave, Arauca;6.956106999999999;-71.87259499999999;6
Havana Peace Negotiations, Peace Agreement (2012-2016);Saravena, Arauca;6.956106999999999;-71.87259499999999;17
Havana Peace Negotiations, Peace Agreement (2012-2016);Sardinata, Norte de Santander;8.085092;-72.799937;4
Havana Peace Negotiations, Peace Agreement (2012-2016);Segovia, Antioquia;7.079743499999999;-74.7004374;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Segovia, Quindío;4.4610191;-75.667356;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Silvia, Cauca;2.611615;-76.37754;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Simití, Bolívar;7.957151;-73.946404;17
Havana Peace Negotiations, Peace Agreement (2012-2016);Sincelejo, Sucre;9.3045773;-75.39055669999999;5
Havana Peace Negotiations, Peace Agreement (2012-2016);Sipí, Chocó;4.65306;-76.64417;21
Havana Peace Negotiations, Peace Agreement (2012-2016);Soacha, Cundinamarca;4.5827227;-74.21174649999999;75
Havana Peace Negotiations, Peace Agreement (2012-2016);Soledad, Atlántico;10.9215472;-74.7688173;7
Havana Peace Negotiations, Peace Agreement (2012-2016);Sucre, Sucre;8.916538147248733;-74.72682304315609;2
Havana Peace Negotiations, Peace Agreement (2012-2016);Supía, Caldas;5.45589;-75.65040100000002;3
Havana Peace Negotiations, Peace Agreement (2012-2016);Sácama, Nariño;6.098996;-72.248193;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Tame, Arauca;6.4586679;-71.73477369999999;24
Havana Peace Negotiations, Peace Agreement (2012-2016);Taraira, Vaupés;-0.5644218999999999;-69.63385339999999;13
Havana Peace Negotiations, Peace Agreement (2012-2016);Teorama, Norte de Santander;8.437521;-73.2869429;13
Havana Peace Negotiations, Peace Agreement (2012-2016);Tibú, Norte de Santander;8.642356;-72.73773299999999;9
Havana Peace Negotiations, Peace Agreement (2012-2016);Tierralta, Córdoba;8.171571;-76.062313;8
Havana Peace Negotiations, Peace Agreement (2012-2016);Tiquisio, Bolívar;8.5555864;-74.26470429999999;13
Havana Peace Negotiations, Peace Agreement (2012-2016);Toledo, Quindío;4.4610191;-75.667356;11
Havana Peace Negotiations, Peace Agreement (2012-2016);Toribio, Cauca;2.9562909;-76.2704;10
Havana Peace Negotiations, Peace Agreement (2012-2016);Trujillo, Valle del Cauca;4.211646;-76.3187681;9
Havana Peace Negotiations, Peace Agreement (2012-2016);Tuluá, Valle del Cauca;4.089869;-76.1914991;20
Havana Peace Negotiations, Peace Agreement (2012-2016);Tumaco, Nariño;1.787434;-78.791265;12
