categoria;LOC;lat;lon;Filename
Nuevos Paramilitares (Narco-Para);Dibulla, La Guajira;11.2724671;-73.3094943;7
Nuevos Paramilitares (Narco-Para);El Bagre, Cauca;7.6049669;-74.8090098;3
Nuevos Paramilitares (Narco-Para);El Banco, Magdalena;9.003506999999999;-73.97386399999999;4
Nuevos Paramilitares (Narco-Para);El Charco, Nariño;2.479311;-78.11021099999999;16
Nuevos Paramilitares (Narco-Para);El Copey, Cesar;10.148976;-73.960233;3
Nuevos Paramilitares (Narco-Para);El Dovio, Valle del Cauca;4.5081065;-76.2371857;13
Nuevos Paramilitares (Narco-Para);El Retorno, Guaviare;2.331899;-72.62812699999999;1
Nuevos Paramilitares (Narco-Para);El Rosario, Nariño;1.742897;-77.33513239999999;7
Nuevos Paramilitares (Narco-Para);El Tambo, Cauca;2.452695;-76.81132199999999;3
Nuevos Paramilitares (Narco-Para);El Tarra, Norte de Santander;8.57451;-73.09339;2
Nuevos Paramilitares (Narco-Para);El Zulia, Norte de Santander;7.937289;-72.604826;2
Nuevos Paramilitares (Narco-Para);El Zulia, Santander;7.937289;-72.604826;5
Nuevos Paramilitares (Narco-Para);Francisco Pizarro, Nariño;2.0403017;-78.6582394;6
Nuevos Paramilitares (Narco-Para);Frontino, Antioquia;6.772999899999999;-76.1313454;1
Nuevos Paramilitares (Narco-Para);Fundación, Magdalena;10.517179;-74.1819979;1
Nuevos Paramilitares (Narco-Para);Fusagasugá, Cundinamarca;4.345152;-74.361823;8
Nuevos Paramilitares (Narco-Para);Galapa, Atlántico;10.8996383;-74.88618819999999;6
Nuevos Paramilitares (Narco-Para);Granada, Meta;3.5436442;-73.7028107;4
Nuevos Paramilitares (Narco-Para);Guaduas, Cundinamarca;5.0678088;-74.5953205;4
Nuevos Paramilitares (Narco-Para);Guamal, Magdalena;9.144527;-74.22629400000001;4
Nuevos Paramilitares (Narco-Para);Guapi, Quindío;4.4610191;-75.667356;1
Nuevos Paramilitares (Narco-Para);Guaranda, Sucre;8.468309999999999;-74.537025;1
Nuevos Paramilitares (Narco-Para);Génova, Quindío;4.2497299;-75.66954;5
Nuevos Paramilitares (Narco-Para);Icononzo, Tolima;4.17645;-74.531723;3
Nuevos Paramilitares (Narco-Para);Iscuande, Nariño;2.4505212;-77.98026930000002;2
Nuevos Paramilitares (Narco-Para);Istmina, Chocó;5.157448899999999;-76.6880899;12
Nuevos Paramilitares (Narco-Para);Ituango, Antioquia;7.1722236;-75.764398;3
Nuevos Paramilitares (Narco-Para);Ituango, Quindío;7.1722236;-75.764398;2
Nuevos Paramilitares (Narco-Para);Jambaló, Cauca;2.7768879;-76.3247615;1
Nuevos Paramilitares (Narco-Para);Juradó, Chocó;7.102626;-77.762046;13
Nuevos Paramilitares (Narco-Para);La Apartada, Córdoba;8.048048999999999;-75.33410099999999;5
Nuevos Paramilitares (Narco-Para);La Llanada, Nariño;1.472852;-77.5798499;5
Nuevos Paramilitares (Narco-Para);La Macarena, Meta;2.1831929;-73.7843783;10
Nuevos Paramilitares (Narco-Para);La Tebaida, Quindío;4.453588;-75.79153;4
Nuevos Paramilitares (Narco-Para);La Tola, Nariño;2.399572;-78.189712;16
Nuevos Paramilitares (Narco-Para);La Unión, Valle del Cauca;4.529822999999999;-76.1088001;11
Nuevos Paramilitares (Narco-Para);Leiva, Nariño;1.9354157;-77.3035623;7
Nuevos Paramilitares (Narco-Para);Lorica, Córdoba;9.2376398;-75.81362450000002;12
Nuevos Paramilitares (Narco-Para);Los Andes, Nariño;1.4937224;-77.5213227;5
Nuevos Paramilitares (Narco-Para);Los Patios, Norte de Santander;7.833199;-72.504392;9
Nuevos Paramilitares (Narco-Para);Los Patios, Santander;7.8328574308121075;-72.50490863729128;5
Nuevos Paramilitares (Narco-Para);Líbano, Córdoba;9.30001;-75.88333999999999;2
