period;LOC;lat;lon;Filename
Conflict (2006-2011);Fundación, Magdalena;10.517179;-74.1819979;5
Conflict (2006-2011);Galapa, Atlántico;10.8996383;-74.88618819999999;11
Conflict (2006-2011);Gama, Cesar;8.31940019494776;-73.74460033658191;3
Conflict (2006-2011);Gamarra, Cesar;8.319315999999999;-73.743937;3
Conflict (2006-2011);Giron, Antioquia;6.2476598;-75.565816;4
Conflict (2006-2011);Girón, Antioquia;6.2476598;-75.565816;6
Conflict (2006-2011);Guapi, Cauca;2.5728709;-77.8889378;2
Conflict (2006-2011);Guapi, Quindío;4.4610191;-75.667356;3
Conflict (2006-2011);Génova, Quindío;4.2497299;-75.66954;9
Conflict (2006-2011);Hato Corozal, Nariño;6.154946;-71.76236;2
Conflict (2006-2011);Ibagué, Tolima;4.444675999999999;-75.24243799999999;1
Conflict (2006-2011);Iscuande, Nariño;2.4505212;-77.98026930000002;4
Conflict (2006-2011);Istmina, Chocó;5.157448899999999;-76.6880899;11
Conflict (2006-2011);Ituango, Quindío;7.1722236;-75.764398;2
Conflict (2006-2011);Jambaló, Cauca;2.7768879;-76.3247615;7
Conflict (2006-2011);La Apartada, Córdoba;8.048048999999999;-75.33410099999999;8
Conflict (2006-2011);La Gloria, Cesar;8.6180139;-73.80227719999999;3
Conflict (2006-2011);La Llanada, Nariño;1.472852;-77.5798499;12
Conflict (2006-2011);La Tola, Nariño;2.399572;-78.189712;15
Conflict (2006-2011);La Victoria, Vaupés;0.8553561;-70.81199529999999;1
Conflict (2006-2011);La Virginia, Risaralda;4.9019631;-75.88444020000001;6
Conflict (2006-2011);Leiva, Nariño;1.9354157;-77.3035623;18
Conflict (2006-2011);Lejanías, Meta;3.5272204;-74.022413;6
Conflict (2006-2011);Lloró, Chocó;5.499682;-76.542596;2
Conflict (2006-2011);Lorica, Córdoba;9.2376398;-75.81362450000002;10
Conflict (2006-2011);Los Andes, Nariño;1.4937224;-77.5213227;12
Conflict (2006-2011);Los Patios, Norte de Santander;7.833199;-72.504392;17
Conflict (2006-2011);Líbano, Córdoba;9.30001;-75.88333999999999;5
Conflict (2006-2011);López de Micay, Cauca;2.8458039;-77.24803899999999;2
Conflict (2006-2011);López de Micay, Quindío;2.8458039;-77.24803899999999;3
Conflict (2006-2011);Magangué, Magdalena;9.2414156;-74.7527587;3
Conflict (2006-2011);Magui Payán, Nariño;1.7658466;-78.1838239;3
Conflict (2006-2011);Maguí Payán, Nariño;1.7658466;-78.1838239;6
Conflict (2006-2011);Maicao, La Guajira;11.3800543;-72.2422465;6
Conflict (2006-2011);Malambo, Atlántico;10.8575824;-74.7746834;11
Conflict (2006-2011);Maní, Nariño;1.2897467;-77.3580033;12
Conflict (2006-2011);Mapiripán, Meta;2.892506;-72.13317500000001;10
Conflict (2006-2011);Medellín, Quindío;6.2476376;-75.56581530000001;41
Conflict (2006-2011);Medio Atrato, Chocó;5.989716400000001;-76.7336521;1
Conflict (2006-2011);Medio Baudó, Chocó;5.1334095;-76.964306;30
Conflict (2006-2011);Medio San Juan, Chocó;5.6914548;-76.65897939999999;11
Conflict (2006-2011);Mesetas, Meta;3.381995;-74.043801;6
Conflict (2006-2011);Milán, Caquetá;1.33546;-75.51080999999999;10
Conflict (2006-2011);Miraflores, Guaviare;1.337454;-71.950914;2
Conflict (2006-2011);Mitú, Vaupés;1.2521739;-70.23361799999999;1
Conflict (2006-2011);Montelíbano, Córdoba;7.976803;-75.417209;32
Conflict (2006-2011);Montería, Córdoba;8.750983;-75.8785348;7
Conflict (2006-2011);Mosquera, Nariño;2.50923;-78.451284;8
Conflict (2006-2011);Moñitos, Córdoba;9.2461227;-76.1316984;10
Conflict (2006-2011);Nariño, Nariño;1.289151;-77.35794000000001;22
Conflict (2006-2011);Nechí, Quindío;8.0909315;-74.77964659999999;10
Conflict (2006-2011);Norosí, Norte de Santander;7.9462831;-72.8988069;7
Conflict (2006-2011);Ocaña, Norte de Santander;8.252049999999999;-73.3532199;2
Conflict (2006-2011);Olaya Herrera, Nariño;2.2772880621602263;-78.31589372202436;15
Conflict (2006-2011);Olaya, Nariño;2.2740962;-78.3159411;1
Conflict (2006-2011);Orito, Putumayo;0.6766344999999999;-76.87960609999999;16
Conflict (2006-2011);Pacoa, Vaupés;0.1410295;-70.6216794;1
Conflict (2006-2011);Paya, Nariño;1.2897467;-77.3580033;14
Conflict (2006-2011);Pereira, Risaralda;4.8087174;-75.690601;6
Conflict (2006-2011);Piamonte, Cauca;1.2155968;-76.4100267;1
Conflict (2006-2011);Piedecuesta, Antioquia;6.991539;-73.05399799999999;10
Conflict (2006-2011);Pijao, Quindío;4.334346099999999;-75.7036308;9
Conflict (2006-2011);Planadas, Tolima;3.1207486;-75.8533954;5
Conflict (2006-2011);Planeta Rica, Córdoba;8.412749;-75.584048;8
Conflict (2006-2011);Plato, Magdalena;9.791337;-74.7975249;7
Conflict (2006-2011);Policarpa, Nariño;1.6289529;-77.4592061;18
Conflict (2006-2011);Pueblo Bello, Cesar;10.43458;-73.5829689;9
Conflict (2006-2011);Pueblo Bello, Valle del Cauca;3.8008893;-76.64127119999999;2
Conflict (2006-2011);Pueblo Nuevo, Córdoba;8.503178;-75.5075239;8
Conflict (2006-2011);Puerto Asís, Putumayo;0.4985097;-76.4977428;2
Conflict (2006-2011);Puerto Caidedo, Putumayo;0.6842064;-76.60416169999999;3
Conflict (2006-2011);Puerto Colombia, Atlántico;11.001004;-74.950761;11
Conflict (2006-2011);Puerto Concordia, Meta;2.6227918;-72.7598422;6
Conflict (2006-2011);Puerto Guzmán, Putumayo;0.96377;-76.40798099999999;3
Conflict (2006-2011);Puerto Libertador, Córdoba;7.8877104;-75.67099759999999;27
