LOC;lat;lon;Filename
Circasia, Quindío;4.616093999999999;-75.635595;14
Ciudad Bolívar, Antioquia;5.852475999999999;-76.0218469;4
Ciudad Bolívar, Bolívar;5.851450055027782;-76.02167748047562;12
Ciénaga, Magdalena;11.007984;-74.248926;29
Colombia, Atlántico;10.6966159;-74.8741045;14
Colombia, Huila;3.3762396;-74.8023651;10
Concordia, Meta;2.6227918;-72.7598422;25
Condoto, Chocó;5.089545999999999;-76.652079;23
Convención, Norte de Santander;8.470146;-73.337007;3
Cordoba, Quindío;4.392094999999999;-75.687434;5
Corinto, Cauca;3.1756423;-76.2591932;10
Corozal, Casanare;5.35;-72.30002;7
Cota, Boyacá;5.454511;-73.362003;2
Coveñas, Sucre;9.403438999999999;-75.68008669999999;17
Cravo Norte, Arauca;6.304349999999999;-70.202659;16
Cubará, Boyacá;7.00178;-72.108186;13
Cumaribo, Vichada;4.444922;-69.79807869999999;24
Cumbitara, Nariño;1.6479737;-77.57850549999999;26
Curillo, Putumayo;1.0340079;-75.9214427;13
Curumaní, Cesar;9.201062;-73.5425659;4
Cúcuta, Norte de Santander;7.8890971;-72.4966896;3
Cáceres, Antioquia;7.579028999999998;-75.34954499999999;2
Cértegui, Chocó;5.371643199999999;-76.6085705;26
Córdoba, Córdoba;8.765106754125203;-75.87187833545246;45
Córdoba, Quindío;4.392094999999999;-75.687434;6
Cúcuta, Norte de Santander;7.8890971;-72.4966896;25
Cúcuta, Santander;7.8890971;-72.4966896;6
Dabeiba, Antioquia;6.997374;-76.256824;11
Dabeiba, Quindío;6.997374;-76.256824;6
Dibulla, La Guajira;11.2724671;-73.3094943;21
Dosquebradas, Risaralda;4.8318256;-75.68056779999999;18
Duitama, Boyacá;5.8268951;-73.0329273;1
El Bagre, Cauca;7.6049669;-74.8090098;10
El Bagre, Quindío;7.6049669;-74.8090098;7
El Banco, Magdalena;9.003506999999999;-73.97386399999999;18
El Cairo, Valle del Cauca;4.760770400000001;-76.2216962;3
El Carmen de Bolívar, Bolívar;9.7180213;-75.1209887;8
El Carmen, Norte de Santander;8.49567;-73.44704;3
El Castillo, Meta;3.564252;-73.794394;11
El Charco, Nariño;2.479311;-78.11021099999999;48
El Cocuy, Boyacá;6.408891;-72.4454499;11
El Copey, Cesar;10.148976;-73.960233;3
El Doncello, Caquetá;1.680042;-75.2833349;23
El Dovio, Valle del Cauca;4.5081065;-76.2371857;26
El Encanto, Amazonas;-1.7471448;-73.20910099999999;2
El Espino, Boyacá;6.4864;-72.43285999999999;11
El Paujil, Caquetá;1.5710821;-75.3268349;14
