clean_NNAJ_actors|Departamento|Filename|Year|categoria|place|LOC|lat|lon|period
Inmuebles 2 Puert|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Vista Hermosa|Vista Hermosa, Meta|3.127883|-73.752512|Post-Agreement (2017-2022)
Frentes De Las Farc|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Puerto Rico|Puerto Rico, Meta|2.941214|-73.20746799999999|Post-Agreement (2017-2022)
Frentes De Las Farc|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Puerto Lleras|Puerto Lleras, Meta|3.272414|-73.369542|Post-Agreement (2017-2022)
Frentes De Las Farc|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018||Vista Hermosa|Vista Hermosa, Meta|3.127883|-73.752512|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|Guerrillas|Puerto Rico|Puerto Rico, Meta|2.941214|-73.20746799999999|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|Guerrillas|Puerto Lleras|Puerto Lleras, Meta|3.272414|-73.369542|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018|Guerrillas|Vista Hermosa|Vista Hermosa, Meta|3.127883|-73.752512|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas|Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas|Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas|Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas|Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Autodefensas Gaitanistas De Colombia|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Nuevos Paramilitares (Narco-Para)|Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Autodefensas Gaitanistas De Colombia|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Nuevos Paramilitares (Narco-Para)|Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Autodefensas Gaitanistas De Colombia|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Nuevos Paramilitares (Narco-Para)|Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Autodefensas Gaitanistas De Colombia|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Nuevos Paramilitares (Narco-Para)|Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Juntas De A|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018||Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Juntas De A|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018||Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Participación Efectiva De Víctimas|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018||Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Participación Efectiva De Víctimas|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018||Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Autodefensas Gaitanistas De Colombia|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Nuevos Paramilitares (Narco-Para)|Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Autodefensas Gaitanistas De Colombia|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Nuevos Paramilitares (Narco-Para)|Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Autodefensas Campesinas Del Magdalena Medio|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018||Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Autodefensas Campesinas Del Magdalena Medio|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018||Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas|Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas|Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas|Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas|Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Autodefensas Gaitanistas De Colombia|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Nuevos Paramilitares (Narco-Para)|Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Autodefensas Gaitanistas De Colombia|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Nuevos Paramilitares (Narco-Para)|Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Autodefensas Campesinas Del Magdalena Medio|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018||Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Autodefensas Campesinas Del Magdalena Medio|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018||Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas|Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Ejército De Liberación Nacional|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas|Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas|Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018|Guerrillas|Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Agencia De Desarrollo Rural|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018||Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Agencia De Desarrollo Rural|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018||Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Unidad Administrativa Para La Atención|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018||Chaguaní|Chaguaní, Cundinamarca|4.9493414|-74.5938658|Post-Agreement (2017-2022)
Unidad Administrativa Para La Atención|Cundinamarca|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018||Guaduas|Guaduas, Cundinamarca|5.0678088|-74.5953205|Post-Agreement (2017-2022)
Autodefensas Gaitanistas De Colombia|Antioquia|AT N° 009-18 ANT-Cáceres.pdf|2018|Nuevos Paramilitares (Narco-Para)|Cáceres|Cáceres, Antioquia|7.579028999999998|-75.34954499999999|Post-Agreement (2017-2022)
Caparrapos|Antioquia|AT N° 009-18 ANT-Cáceres.pdf|2018||Cáceres|Cáceres, Antioquia|7.579028999999998|-75.34954499999999|Post-Agreement (2017-2022)
Grupo Armado Ilegal|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018||Atrato|Atrato, Chocó|5.5549057|-76.6181655|Post-Agreement (2017-2022)
Grupo Armado Ilegal|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018||Bojaya|Bojaya, Chocó|6.5213281|-76.9728457|Post-Agreement (2017-2022)
Grupo Armado Ilegal|Chocó|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018||Medio Atrato|Medio Atrato, Chocó|5.989716400000001|-76.7336521|Post-Agreement (2017-2022)
